Location Name: Corporation Water,,
Date,Time,Totalizer
02-06-2025,18:55:00,531238.94
02-06-2025,19:00:00,531244.96
02-06-2025,19:05:00,531251.41
02-06-2025,19:10:00,531257.83
02-06-2025,19:15:00,531264.24
02-06-2025,19:20:00,531270.46
02-06-2025,19:25:00,531276.53
02-06-2025,19:30:00,531282.4
02-06-2025,19:35:00,531288.3
02-06-2025,19:40:00,531294.81
02-06-2025,19:45:00,531301.35
02-06-2025,19:50:00,531307.43
02-06-2025,19:55:00,531313.5
02-06-2025,20:00:00,531319.68
02-06-2025,20:05:00,531326.19
02-06-2025,20:10:00,531332.38
02-06-2025,20:15:00,531339.14
02-06-2025,20:20:00,531345.82
02-06-2025,20:25:00,531352.56
02-06-2025,20:30:00,531358.92
02-06-2025,20:35:00,531365.45
02-06-2025,20:40:00,531372.11
02-06-2025,20:45:00,531378.92
02-06-2025,20:50:00,531385.15
02-06-2025,20:55:00,531391.04
02-06-2025,21:00:00,531397.33
02-06-2025,21:05:00,531403.43
02-06-2025,21:10:00,531409.84
02-06-2025,21:15:00,531416.22
02-06-2025,21:20:00,531422.21
02-06-2025,21:25:00,531428.22
02-06-2025,21:30:00,531434.91
02-06-2025,21:35:00,531441.16
02-06-2025,21:40:00,531447.67
02-06-2025,21:45:00,531453.77
02-06-2025,21:50:00,531459.81
02-06-2025,21:55:00,531465.85
02-06-2025,22:00:00,531471.85
02-06-2025,22:05:00,531472.53
02-06-2025,22:10:00,531472.78
02-06-2025,22:15:00,531473.69
02-06-2025,22:20:00,531474.01
02-06-2025,22:25:00,531474.22
02-06-2025,22:30:00,531474.75
02-06-2025,22:35:00,531475.87
02-06-2025,22:40:00,531476.82
02-06-2025,22:45:00,531477.45
02-06-2025,22:50:00,531477.74
02-06-2025,22:55:00,531478.42
02-06-2025,23:00:00,531478.97
02-06-2025,23:05:00,531479.45
02-06-2025,23:10:00,531480.02
02-06-2025,23:15:00,531480.26
02-06-2025,23:20:00,531481.42
02-06-2025,23:25:00,531482.21
02-06-2025,23:30:00,531483.07
02-06-2025,23:35:00,531483.6
02-06-2025,23:40:00,531484.38
02-06-2025,23:45:00,531485.32
02-06-2025,23:50:00,531486.13
02-06-2025,23:55:00,531487.19
 ,,
03-06-2025,00:00:00,531488.13
03-06-2025,00:05:00,531489.06
03-06-2025,00:10:00,531489.98
03-06-2025,00:15:00,531490.87
03-06-2025,00:20:00,531491.71
03-06-2025,00:25:00,531491.92
03-06-2025,00:30:00,531492.55
03-06-2025,00:35:00,531492.76
03-06-2025,00:40:00,531493.03
03-06-2025,00:45:00,531493.41
03-06-2025,00:50:00,531494.32
03-06-2025,00:55:00,531495.26
03-06-2025,01:00:00,531495.48
03-06-2025,01:05:00,531496.05
03-06-2025,01:10:00,531496.32
03-06-2025,01:15:00,531497.14
03-06-2025,01:20:00,531497.65
03-06-2025,01:25:00,531498.04
03-06-2025,01:30:00,531498.8
03-06-2025,01:35:00,531499.11
03-06-2025,01:40:00,531503.74
03-06-2025,01:45:00,531508.63
03-06-2025,01:50:00,531512.86
03-06-2025,01:55:00,531517.7
03-06-2025,02:00:00,531522.34
03-06-2025,02:05:00,531527.05
03-06-2025,02:10:00,531531.69
03-06-2025,02:15:00,531535.99
03-06-2025,02:20:00,531540.47
03-06-2025,02:25:00,531545.07
03-06-2025,02:30:00,531549.94
03-06-2025,02:35:00,531554.38
03-06-2025,02:40:00,531558.56
03-06-2025,02:45:00,531563.49
